	tz	gs	alpha
2023-07-18 09:00:00	41.32609289985905	-91.53041611793381	48.67390710014095
2023-07-18 09:30:00	34.6541119536048	-88.07339570764482	55.345888046395196
2023-07-18 10:00:00	27.99836521880386	-83.87550486590051	62.001634781196145
2023-07-18 10:30:00	21.40648439259264	-78.18377059871162	68.59351560740735
2023-07-18 11:00:00	14.997285814997333	-69.01896726310137	75.00271418500267
2023-07-18 11:30:00	9.20075895434329	-49.64703077835196	80.79924104565671
2023-07-18 12:00:00	6.152568632266375	0.0	83.84743136773363
2023-07-18 12:30:00	9.20075895434329	49.64703077835196	80.79924104565671
2023-07-18 13:00:00	14.997285814997333	69.01896726310137	75.00271418500267
2023-07-18 13:30:00	21.40648439259264	78.18377059871162	68.59351560740735
2023-07-18 14:00:00	27.99836521880386	83.87550486590051	62.001634781196145
2023-07-18 14:30:00	34.6541119536048	88.07339570764482	55.345888046395196
2023-07-18 15:00:00	41.32609289985905	91.53041611793381	48.67390710014095
2023-07-18 15:30:00	47.98863303555676	94.59659641918034	42.01136696444324
2023-07-18 16:00:00	54.62390783014647	97.46207846093745	35.376092169853536
2023-07-18 16:30:00	61.216710333582874	100.24513603380197	28.783289666417126
2023-07-18 17:00:00	67.7519846678209	103.02946758696163	22.248015332179094
2023-07-18 17:30:00	74.21330714540808	105.88220370539858	15.78669285459191
2023-07-18 18:00:00	80.5816478833137	108.86374742176136	9.418352116686291
2023-07-18 18:30:00	86.83410640538453	112.03388624928222	3.165893594615474
2023-07-18 19:00:00	92.94243693839525	115.45609246027371	-2.942436938395252
2023-07-18 19:30:00	98.8712231411945	119.20080834868986	-8.871223141194514
2023-07-18 20:00:00	104.57559120156483	123.34784853310089	-14.575591201564821
2023-07-18 20:30:00	109.99841273977917	127.98742951625985	-19.998412739779166
2023-07-18 21:00:00	115.06711313247456	133.2185187769322	-25.067113132474557
2023-07-18 21:30:00	119.69057646487157	139.1420799593545	-29.690576464871576
2023-07-18 22:00:00	123.75736250065202	145.84566106624996	-33.75736250065202
2023-07-18 22:30:00	127.13755203046831	153.37591428533736	-37.137552030468306
2023-07-18 23:00:00	129.69153742634737	161.69991489637948	-39.691537426347374
2023-07-18 23:30:00	131.28845161285787	170.66739293402463	-41.288451612857884
2023-07-19 00:00:00	132.0150557843384	-180.0	-42.01505578433837
2023-07-19 00:30:00	131.4687398530774	-170.62975247905626	-41.4687398530774
2023-07-19 01:00:00	129.86563967718152	-161.62876454814187	-39.86563967718154
2023-07-19 01:30:00	127.30251658698117	-153.27792917442244	-37.302516586981156
2023-07-19 02:00:00	123.9114716858073	-145.72800142731637	-33.9114716858073
2023-07-19 02:30:00	119.83318559271696	-139.01091876662187	-29.833185592716948
2023-07-19 03:00:00	115.19833557586323	-133.07844135038323	-25.198335575863233
2023-07-19 03:30:00	110.1188146241209	-127.84144313989876	-20.118814624120905
2023-07-19 04:00:00	104.68596445577707	-123.19765339223163	-14.68596445577707
2023-07-19 04:30:00	98.97244183053587	-119.04710551667189	-8.972441830535862
2023-07-19 05:00:00	93.03537763586391	-115.29883206346801	-3.0353776358639006
2023-07-19 05:30:00	86.91961121010797	-111.87243077176134	3.0803887898920346
2023-07-19 06:00:00	80.66051404852658	-108.69695257375898	9.339485951473419
2023-07-19 06:30:00	74.28629345434429	-105.70842299701303	15.713706545655707
2023-07-19 07:00:00	67.81982982729502	-102.84647912627494	22.180170172704976
2023-07-19 07:30:00	61.28016294502865	-100.04997495620121	28.719837054971347
